city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
chicago,KXHIGHCHI-25DEC30-T33,2025-12-30,2025-12-30 15:00:00+00:00,0.5,False,0.709677,0.290323,0.709677,0.290323,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.699677,,0.699677,0.699677,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,34° or above,greater,33.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC30-T30,2025-12-30,2025-12-30 14:00:00+00:00,1.0,False,0.096774,0.903226,0.096774,0.903226,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.086774,,0.086774,0.086774,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,29° or below,less,,30.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC30-T37,2025-12-30,2025-12-30 14:00:00+00:00,1.0,False,0.903226,0.096774,0.903226,0.096774,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.893226,,0.893226,0.893226,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,38° or above,greater,37.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC31-B30.5,2025-12-31,2025-12-31 15:00:00+00:00,2.0,False,0.0625,0.9375,0.0625,0.9375,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.0525,,0.0525,0.0525,1,0.0,-0.01,-0.01,32,baseline_climatology_v1,2,30° to 31°,between,30.0,31.0,between,0-25,False
chicago,KXHIGHCHI-25DEC31-T30,2025-12-31,2025-12-31 15:00:00+00:00,0.5,False,0.15625,0.84375,0.15625,0.84375,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.14625,,0.14625,0.14625,1,0.0,-0.01,-0.01,32,baseline_climatology_v1,2,29° or below,less,,30.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC31-T37,2025-12-31,2025-12-31 15:00:00+00:00,18.0,False,0.53125,0.46875,0.53125,0.46875,18.0,19.0,81.0,82.0,yes,19.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.34125,,0.34125,0.34125,1,0.0,-0.19,-0.19,32,baseline_climatology_v1,2,38° or above,greater,37.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC31-T31,2025-12-31,2025-12-31 14:00:00+00:00,3.0,False,0.09375,0.90625,0.09375,0.90625,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.08375,,0.08375,0.08375,1,0.0,-0.01,-0.01,32,baseline_climatology_v1,2,30° or below,less,,31.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC31-T38,2025-12-31,2025-12-31 14:00:00+00:00,1.0,False,0.875,0.125,0.875,0.125,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.865,,0.865,0.865,1,0.0,-0.01,-0.01,32,baseline_climatology_v1,2,39° or above,greater,38.0,,or_above,0-25,False
chicago,KXHIGHCHI-26JAN01-T27,2026-01-01,2026-01-01 15:00:00+00:00,0.5,False,0.909091,0.090909,0.909091,0.090909,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.899091,,0.899091,0.899091,1,0.0,-0.01,-0.01,33,baseline_climatology_v1,2,28° or above,greater,27.0,,or_above,0-25,False
nyc,KXHIGHNY-26JAN01-T30,2026-01-01,2026-01-01 14:00:00+00:00,1.0,False,0.090909,0.909091,0.090909,0.909091,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.080909,,0.080909,0.080909,1,0.0,-0.01,-0.01,33,baseline_climatology_v1,2,29° or below,less,,30.0,or_below,0-25,False
