city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
nyc,KXHIGHNY-25DEC23-T45,2025-12-23,2025-12-23 15:00:00+00:00,0.5,False,0.580645,0.419355,0.580645,0.419355,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.560645,,0.560645,0.570645,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,46° or above,greater,45.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC24-T40,2025-12-24,2025-12-24 16:00:00+00:00,1.0,False,0.451613,0.548387,0.451613,0.548387,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.431613,,0.431613,0.441613,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC24-T47,2025-12-24,2025-12-24 16:00:00+00:00,15.0,False,0.354839,0.645161,0.354839,0.645161,21.0,22.0,78.0,79.0,yes,22.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.114839,,0.114839,0.134839,1,0.02,-0.22,-0.24,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC24-T40,2025-12-24,2025-12-24 15:00:00+00:00,1.0,False,0.322581,0.677419,0.322581,0.677419,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.302581,,0.302581,0.312581,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC24-T47,2025-12-24,2025-12-24 15:00:00+00:00,5.0,False,0.387097,0.612903,0.387097,0.612903,4.0,5.0,95.0,96.0,yes,5.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.327097,,0.327097,0.337097,1,0.01,-0.05,-0.06,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC25-T40,2025-12-25,2025-12-25 16:00:00+00:00,1.0,False,0.419355,0.580645,0.419355,0.580645,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.399355,,0.399355,0.409355,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC25-T47,2025-12-25,2025-12-25 16:00:00+00:00,2.0,False,0.354839,0.645161,0.354839,0.645161,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.314839,,0.314839,0.324839,1,0.01,-0.03,-0.04,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC25-T41,2025-12-25,2025-12-25 15:00:00+00:00,0.5,False,0.387097,0.612903,0.387097,0.612903,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.367097,,0.367097,0.377097,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,40° or below,less,,41.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC26-T49,2025-12-26,2025-12-26 16:00:00+00:00,20.0,True,0.741935,0.258065,0.741935,0.258065,22.0,23.0,77.0,78.0,yes,23.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.491935,,0.491935,0.511935,1,0.02,0.77,0.75,31,baseline_climatology_v1,1,48° or below,less,,49.0,or_below,0-25,True
chicago,KXHIGHCHI-25DEC26-T56,2025-12-26,2025-12-26 16:00:00+00:00,1.0,False,0.129032,0.870968,0.129032,0.870968,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.109032,,0.109032,0.119032,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,57° or above,greater,56.0,,or_above,0-25,False
