decision_time_local,scenario_code,city_scope,fold_number,trades_taken,total_net_pnl,win_rate,average_entry_price,average_spread,average_edge,positive_fold
12:00,A,nyc,1,12,0.55,0.083333,3.75,1.083333,0.322715,True
12:00,A,nyc,2,13,0.87,0.076923,1.0,1.0,0.474793,True
12:00,A,nyc,3,7,-0.18,0.0,2.571429,1.0,0.344034,False
12:00,A,chicago,1,11,1.78,0.181818,2.0,1.181818,0.475601,True
12:00,A,chicago,2,14,-0.42,0.0,3.0,1.142857,0.567295,False
12:00,A,chicago,3,5,-0.07,0.0,1.4,1.0,0.250706,False
12:00,B,pooled,1,23,2.09,0.130435,2.913043,1.130435,0.3854,True
12:00,B,pooled,2,27,0.18,0.037037,2.037037,1.074074,0.512757,True
12:00,B,pooled,3,12,-0.37,0.0,2.083333,1.0,0.295147,False
12:00,B,nyc,1,12,0.42,0.083333,3.75,1.083333,0.311882,True
12:00,B,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
12:00,B,nyc,3,7,-0.25,0.0,2.571429,1.0,0.334034,False
12:00,B,chicago,1,11,1.67,0.181818,2.0,1.181818,0.465601,True
12:00,B,chicago,2,14,-0.56,0.0,3.0,1.142857,0.557295,False
12:00,B,chicago,3,5,-0.12,0.0,1.4,1.0,0.240706,False
12:00,C,pooled,1,23,2.09,0.130435,2.913043,1.130435,0.3854,True
12:00,C,pooled,2,27,0.18,0.037037,2.037037,1.074074,0.512757,True
12:00,C,pooled,3,12,-0.37,0.0,2.083333,1.0,0.295147,False
12:00,C,nyc,1,12,0.42,0.083333,3.75,1.083333,0.311882,True
12:00,C,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
12:00,C,nyc,3,7,-0.25,0.0,2.571429,1.0,0.334034,False
12:00,C,chicago,1,11,1.67,0.181818,2.0,1.181818,0.465601,True
12:00,C,chicago,2,14,-0.56,0.0,3.0,1.142857,0.557295,False
12:00,C,chicago,3,5,-0.12,0.0,1.4,1.0,0.240706,False
12:00,D,pooled,1,22,1.22,0.090909,2.5,1.045455,0.382434,True
12:00,D,pooled,2,27,0.18,0.037037,2.037037,1.074074,0.512757,True
12:00,D,pooled,3,12,-0.37,0.0,2.083333,1.0,0.295147,False
12:00,D,nyc,1,12,0.42,0.083333,3.75,1.083333,0.311882,True
12:00,D,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
12:00,D,nyc,3,7,-0.25,0.0,2.571429,1.0,0.334034,False
12:00,D,chicago,1,10,0.8,0.1,1.0,1.0,0.467097,True
12:00,D,chicago,2,14,-0.56,0.0,3.0,1.142857,0.557295,False
12:00,D,chicago,3,5,-0.12,0.0,1.4,1.0,0.240706,False
13:00,A,pooled,1,23,2.46,0.130435,2.347826,1.0,0.401487,True
13:00,A,pooled,2,26,0.58,0.038462,1.615385,1.0,0.543338,True
13:00,A,pooled,3,12,-0.3,0.0,2.5,1.083333,0.293627,False
13:00,A,nyc,1,12,0.62,0.083333,3.166667,1.0,0.328548,True
